ParticipantID,BatteryChargeStartDate,BatteryChargeStopDate,Starting SoC (of 12),Ending SoC (of 12)
GC10,2014-07-13 20:31 ,2014-07-14 02:31 ,7,12
GC10,2014-07-14 14:05 ,2014-07-14 17:09 ,5,8
GC10,2014-07-15 10:51 ,2014-07-15 18:24 ,2,11
GC10,2014-07-15 23:28 ,2014-07-16 06:16 ,5,12
GC10,2014-07-16 20:50 ,2014-07-17 01:05 ,8,12
GC10,2014-07-17 22:40 ,2014-07-18 01:54 ,6,9
GC10,2014-07-18 07:57 ,2014-07-18 11:04 ,10,12
GC10,2014-07-18 18:26 ,2014-07-19 04:22 ,2,12
GC10,2014-07-19 18:16 ,2014-07-20 00:13 ,6,12
GC10,2014-07-20 17:48 ,2014-07-21 05:08 ,1,12
GC10,2014-07-21 22:15 ,2014-07-22 06:47 ,3,12
GC10,2014-07-22 08:07 ,2014-07-22 09:14 ,10,11
GC10,2014-07-22 10:41 ,2014-07-22 11:48 ,9,10
GC10,2014-07-22 12:23 ,2014-07-22 15:32 ,10,12
GC10,2014-07-22 20:52 ,2014-07-22 21:56 ,12,12
GC10,2014-07-23 07:34 ,2014-07-23 09:00 ,8,9
GC10,2014-07-23 10:14 ,2014-07-23 15:40 ,7,12
GC10,2014-07-23 20:41 ,2014-07-24 01:34 ,8,12
GC10,2014-07-24 08:12 ,2014-07-24 11:08 ,10,12
GC10,2014-07-24 14:23 ,2014-07-24 14:56 ,12,12
GC10,2014-07-24 21:35 ,2014-07-24 22:14 ,8,11
GC10,2014-07-25 08:27 ,2014-07-25 12:43 ,8,12
GC10,2014-07-25 18:27 ,2014-07-25 18:41 ,3,7
GC10,2014-07-25 20:03 ,2014-07-25 20:35 ,5,11
GC10,2014-07-27 20:05 ,2014-07-28 03:40 ,4,12
