ParticipantID,ICB_ID,MC_ID,DistanceFromSubstation,ExpectedPhase,ActualPhase,EVDeliveryDate,LeaseEndDate,DecommissionDate,ParticipantExitDate,Location
ST1060,NULL,NULL,NULL,NULL,NULL,2014-05-09,2015-11-09,NULL,NULL,KW17
ST1061,NULL,NULL,NULL,NULL,NULL,2014-05-27,2015-11-27,NULL,NULL,BL0
ST1062,NULL,NULL,NULL,NULL,NULL,2014-07-18,2016-01-18,NULL,NULL,CB6
ST1063,NULL,NULL,NULL,NULL,NULL,2014-05-29,2015-11-29,NULL,NULL,EH47
ST1064,NULL,NULL,NULL,NULL,NULL,2014-05-08,2015-11-08,NULL,NULL,EC1N
ST1065,NULL,NULL,NULL,NULL,NULL,2014-05-23,2015-11-23,NULL,NULL,NE47
ST1066,NULL,NULL,NULL,NULL,NULL,2014-06-16,2015-12-17,NULL,NULL,PH2
ST1067,NULL,NULL,NULL,NULL,NULL,2014-07-18,2016-01-18,NULL,NULL,LE10
ST1068,NULL,NULL,NULL,NULL,NULL,2014-07-29,2016-01-29,NULL,NULL,KW17
ST1069,NULL,NULL,NULL,NULL,NULL,2014-08-28,2016-02-28,NULL,NULL,SL5
ST1070,NULL,NULL,NULL,NULL,NULL,2014-06-02,2015-12-02,NULL,NULL,BS36
ST1071,NULL,NULL,NULL,NULL,NULL,2014-06-20,2015-12-21,NULL,NULL,LN1
ST1072,NULL,NULL,NULL,NULL,NULL,2014-07-21,2016-01-21,NULL,NULL,PE8
ST1074,NULL,NULL,NULL,NULL,NULL,2014-07-22,2016-01-22,NULL,NULL,DG6
ST1075,NULL,NULL,NULL,NULL,NULL,2014-07-18,2016-01-18,NULL,NULL,LS16
ST1076,NULL,NULL,NULL,NULL,NULL,2014-07-22,2016-01-22,NULL,NULL,TF4
ST1077,NULL,NULL,NULL,NULL,NULL,2014-07-29,2016-01-29,NULL,NULL,PO8
ST1078,NULL,NULL,NULL,NULL,NULL,2014-07-25,2016-01-25,NULL,NULL,DA11
ST1079,NULL,NULL,NULL,NULL,NULL,2014-06-03,2015-08-07,NULL,NULL,CW8
ST1080,NULL,NULL,NULL,NULL,NULL,2014-08-08,2016-02-08,NULL,NULL,TQ12
ST1081,NULL,NULL,NULL,NULL,NULL,2014-08-08,2016-02-08,NULL,NULL,WR11
ST1082,NULL,NULL,NULL,NULL,NULL,2014-08-15,2016-02-15,NULL,NULL,NG13
